check_id,severity,service,resource_name,explanation_line_1,explanation_line_2,verification_verdict
app_client_certificates_on,medium,app,ref3tier-dev-app-7mog1c,ref3tier-dev-app-7mog1c does not require client certificates for incoming connections.,"Without this check, the app has one less way to verify that a caller is who it claims to be.",VERIFIED
app_ensure_auth_is_set_up,medium,app,ref3tier-dev-app-7mog1c,ref3tier-dev-app-7mog1c does not have App Service Authentication configured.,Anyone who finds the app's web address can reach it without signing in first.,VERIFIED
app_ensure_using_http20,low,app,ref3tier-dev-app-7mog1c,ref3tier-dev-app-7mog1c has not enabled HTTP/2.0 support.,This is a performance and modernization gap rather than a direct security exposure.,VERIFIED
app_http_logs_enabled,low,app,ref3tier-dev-app-7mog1c,ref3tier-dev-app-7mog1c is not recording HTTP request logs in its diagnostic settings.,"Without these logs, there is no record of who accessed the app or when, making incidents hard to investigate.",VERIFIED
appinsights_ensure_is_configured,low,appinsights,843e85de-3f5f-4614-967a-9f39f1fe9ba7,The subscription has no Application Insights resource set up for monitoring.,"Without it, there is no application-level visibility into errors, performance issues, or unusual behavior.",VERIFIED
defender_auto_provisioning_log_analytics_agent_vms_on,high,defender,default,Automatic deployment of the monitoring agent to virtual machines is turned off.,New VMs would not automatically get the agent needed for Defender to monitor them.,VERIFIED
defender_container_images_scan_enabled,high,defender,Containers,Container image vulnerability scanning is not enabled for this subscription.,Container images could be deployed with known vulnerabilities without any automatic warning.,VERIFIED
defender_ensure_defender_for_app_services_is_on,high,defender,Defender plan App Services,Microsoft Defender for App Services is not enabled (requires the paid Standard tier).,Web apps in this subscription do not get active threat detection beyond basic platform security.,VERIFIED
defender_ensure_defender_for_arm_is_on,high,defender,Defender plan ARM,Microsoft Defender for Azure Resource Manager is not enabled (requires the paid Standard tier).,Suspicious or unusual resource management operations would not be automatically flagged.,VERIFIED
defender_ensure_defender_for_azure_sql_databases_is_on,high,defender,SqlServers,Microsoft Defender for Azure SQL Databases is not enabled (requires the paid Standard tier).,SQL databases miss out on advanced threat detection beyond basic platform security.,VERIFIED
defender_ensure_defender_for_containers_is_on,high,defender,Containers,Microsoft Defender for Containers is not enabled (requires the paid Standard tier).,Container workloads do not receive runtime threat detection or vulnerability insights.,VERIFIED
defender_ensure_defender_for_cosmosdb_is_on,high,defender,Defender plan Cosmos DB,Microsoft Defender for Cosmos DB is not enabled (requires the paid Standard tier).,Any Cosmos DB resources in this subscription would not get active threat monitoring.,VERIFIED
defender_ensure_defender_for_databases_is_on,high,defender,SqlServers,Microsoft Defender for Databases is not enabled (requires the paid Standard tier).,Database workloads across the subscription miss out on this layer of automated threat detection.,VERIFIED
defender_ensure_defender_for_dns_is_on,high,defender,Defender plan DNS,Microsoft Defender for DNS is not enabled (requires the paid Standard tier).,"Malicious DNS activity, such as data exfiltration attempts over DNS, would not be automatically flagged.",VERIFIED
defender_ensure_defender_for_keyvault_is_on,high,defender,Defender plan KeyVaults,Microsoft Defender for Key Vaults is not enabled (requires the paid Standard tier).,Unusual access patterns to Key Vault secrets would not trigger automated threat alerts.,VERIFIED
defender_ensure_defender_for_os_relational_databases_is_on,high,defender,Defender plan Open-Source Relational Databases,Microsoft Defender for Open-Source Relational Databases is not enabled (paid Standard tier required).,Any open-source database services in this subscription would not get active threat detection.,VERIFIED
